"data","variazione_totale_positivi","nuovi_positivi","casi_testati","ingressi_terapia_intensiva","note_test","note_casi","totale_positivi_test_molecolare","totale_positivi_test_antigenico_rapido","tamponi_test_molecolare","tamponi_test_antigenico_rapido"
"2020-02-24T18:00:00",0,221,,,,,,,,
"2020-02-25T18:00:00",90,93,,,,,,,,
"2020-02-26T18:00:00",74,78,,,,,,,,
"2020-02-27T18:00:00",203,250,,,,,,,,
"2020-02-28T18:00:00",233,238,,,,,,,,
"2020-02-29T18:00:00",228,240,,,,,,,,
"2020-03-01T18:00:00",528,566,,,,,,,,
"2020-03-02T18:00:00",258,342,,,,,,,,
"2020-03-03T18:00:00",428,466,,,,,,,,
"2020-03-04T18:00:00",443,587,,,,,,,,
"2020-03-05T18:00:00",590,769,,,,,,,,
"2020-03-06T18:00:00",620,778,,,,,,,,
"2020-03-07T18:00:00",1145,1247,,,,,,,,
"2020-03-08T18:00:00",1326,1492,,,,,,,,
"2020-03-09T18:00:00",1598,1797,,,,,,,,
"2020-03-10T18:00:00",529,977,,,,,,,,
"2020-03-11T17:00:00",2076,2313,,,,,,,,
"2020-03-12T17:00:00",2249,2651,,,,,,,,
"2020-03-13T17:00:00",2116,2547,,,,,,,,
"2020-03-14T17:00:00",2795,3497,,,,,,,,
"2020-03-15T17:00:00",2853,3590,,,,,,,,
"2020-03-16T17:00:00",2470,3233,,,,,,,,
"2020-03-17T17:00:00",2989,3526,,,,,,,,
"2020-03-18T17:00:00",2648,4207,,,,,,,,
"2020-03-19T17:00:00",4480,5322,,,,,,,,
"2020-03-20T17:00:00",4670,5986,,,,,,,,
"2020-03-21T17:00:00",4821,6557,,,,,,,,
"2020-03-22T17:00:00",3957,5560,,,,,,,,
"2020-03-23T17:00:00",3780,4789,,,,,,,,
"2020-03-24T17:00:00",3612,5249,,,,,,,,
"2020-03-25T17:00:00",3491,5210,,,,,,,,
"2020-03-26T17:00:00",4492,6153,,,,,,,,
"2020-03-27T17:00:00",4401,5959,,,,,,,,
"2020-03-28T17:00:00",3651,5974,,,,,,,,
"2020-03-29T17:00:00",3815,5217,,,,,,,,
"2020-03-30T17:00:00",1648,4050,,,,,,,,
"2020-03-31T17:00:00",2107,4053,,,,,,,,
"2020-04-01T17:00:00",2937,4782,,,,,,,,
"2020-04-02T17:00:00",2477,4668,,,,,,,,
"2020-04-03T17:00:00",2339,4585,,,,,,,,
"2020-04-04T17:00:00",2886,4805,,,,,,,,
"2020-04-05T17:00:00",2972,4316,,,,,,,,
"2020-04-06T17:00:00",1941,3599,,,,,,,,
"2020-04-07T17:00:00",880,3039,,,,,,,,
"2020-04-08T17:00:00",1195,3836,,,,,,,,
"2020-04-09T17:00:00",1615,4204,,,,,,,,
"2020-04-10T17:00:00",1396,3951,,,,,,,,
"2020-04-11T17:00:00",1996,4694,,,,,,,,
"2020-04-12T17:00:00",1984,4092,,,,,,,,
"2020-04-13T17:00:00",1363,3153,,,,,,,,
"2020-04-14T17:00:00",675,2972,,,,,,,,
"2020-04-15T17:00:00",1127,2667,,,,,,,,
"2020-04-16T17:00:00",1189,3786,,,,,,,,
"2020-04-17T17:00:00",355,3493,,,,,,,,
"2020-04-18T17:00:00",809,3491,,,,,,,,
"2020-04-19T17:00:00",486,3047,935310,,,,,,,
"2020-04-20T17:00:00",-20,2256,943151,,,,,,,
"2020-04-21T17:00:00",-528,2729,971246,,,,,,,
"2020-04-22T17:00:00",-10,3370,1015494,,,,,,,
"2020-04-23T17:00:00",-851,2646,1052577,,,,,,,
"2020-04-24T17:00:00",-321,3021,1147850,,,,,,,
"2020-04-25T17:00:00",-680,2357,1186526,,,,,,,
"2020-04-26T17:00:00",256,2324,1210639,,,,,,,
"2020-04-27T17:00:00",-290,1739,1237317,,,,,,,
"2020-04-28T17:00:00",-608,2091,1274871,,,,,,,
"2020-04-29T17:00:00",-548,2086,1313460,,,,,,,
"2020-04-30T17:00:00",-3106,1872,1354901,,,,,,,
"2020-05-01T17:00:00",-608,1965,1398633,,,,,,,
"2020-05-02T17:00:00",-239,1900,1429864,,,,,,,
"2020-05-03T17:00:00",-525,1389,1456911,,,,,,,
"2020-05-04T17:00:00",-199,1221,1479910,,,,,,,
"2020-05-05T17:00:00",-1513,1075,1512121,,,,,,,
"2020-05-06T17:00:00",-6939,1444,1549892,,,,,,,
"2020-05-07T17:00:00",-1904,1401,1563557,,,,,,,
"2020-05-08T17:00:00",-1663,1327,1608985,,,,,,,
"2020-05-09T17:00:00",-3119,1083,1645076,,,,,,,
"2020-05-10T17:00:00",-1518,802,1676460,,,,,,,
"2020-05-11T17:00:00",-836,744,1702283,,,,,,,
"2020-05-12T17:00:00",-1222,1402,1741903,,,,,,,
"2020-05-13T17:00:00",-2809,888,1778952,,,,,,,
"2020-05-14T17:00:00",-2017,992,1820083,,,,,,,
"2020-05-15T17:00:00",-4370,789,1859110,,,,,,,
"2020-05-16T17:00:00",-1883,875,1899767,,,,,,,
"2020-05-17T17:00:00",-1836,675,1933272,,,,,,,
"2020-05-18T17:00:00",-1798,451,1959373,,,,,,,
"2020-05-19T17:00:00",-1424,813,1999599,,,,,,,
